"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"152" "Amont" 3570.17 18.8818 67.0052 18.3823 21.4084 11.4367 1559.97 111.633 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.571 73.63
"153" "Amont" 2589.55 0 97.736 1.14893 2.26402 0 1311.84 96.0537 NA NA 535060.10962026 NA NA 10903.9714838557 "Cauterets" "Cauterets.Amont" 2.721 67.548
"154" "Amont" 2850.06 0.249764 97.6194 0.799247 1.76461 0.532712 2254.83 101.334 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.862 59.624
"155" "Amont" 627.488 0.199955 95.2524 65.8355 2.24888 2.43212 388.272 88.3259 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 4.035 77.149
"177" "Amont" 90.4787 NA 0 NA 0 99.8169 37.8539 0.531125 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 2.318 65.3
"178" "Amont" 2668.63 0.199807 91.4267 15.0355 7.17496 1.33178 1599.25 81.2178 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 2.09 60.326
"179" "Amont" 2324.83 0 93.7906 41.1118 3.84551 2.36391 1011.19 71.2811 NA NA 545189.159754334 NA NA 10753.4830173729 "Cauterets" "Cauterets.Amont" 5.526 84.659
"180" "Amont" 122.743 0.249762 0.0166471 NA 0 99.9001 10011.5 1.92242 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.305 70.08
"182" "Amont" 501.67 129.475 51.6897 129.175 2.36391 43.8322 2611.29 36.4023 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 20.787 125.93
"183" "Amont" 1510.79 0 88.5966 135.722 7.70767 3.69569 42972.8 124.957 NA NA 487073.769902172 NA NA 6097.07278249247 "Lees Athas" "Lees Athas.Amont" 7.491 95.056
"184" "Amont" 1140.85 114.796 55.3021 113.997 4.31164 40.2031 7620.18 90.4652 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 10.442 107.561
"185" "Amont" 1691.04 0 91.3268 0.049957 5.95971 2.7135 1316.59 197.621 1022152.05870887 278336.437954102 826561.067360001 84.9993306414837 4861.97852689144 17166.6003833453 "Cauterets" "Cauterets.Amont" 4.025 77.529
"186" "Amont" 315.255 0 100 NA 0 0 3173.4 32.6639 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.251 88.361
"194" "Amont" 2931.53 0 77.8055 41.3705 15.8009 6.39361 2038.75 192.444 1038557.13155692 579795.375631224 504773.16034532 71.1258009034301 12116.6994677928 10067.8669031343 "Lees Athas" "Lees Athas.Amont" 1.765 57.885
"195" "Amont" 530.773 0.149889 91.7582 257.81 6.80986 1.38195 52944 96.6225 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.895 60.359
"196" "Amont" 827.691 45.4062 75.2788 44.9566 6.79207 17.9291 904.435 90.9736 1017439.82712462 600933.846849413 485655.018410972 76.0049526334653 11402.5534033623 8049.56487081954 NA NA NA NA
"197" "Amont" 3285.43 54.9976 79.6571 54.6479 1.91443 18.4285 2641.74 275.229 NA NA 558036.07763153 NA NA 10772.4294987811 "Cauterets" "Cauterets.Amont" 1.89 60.038
"198" "Amont" 806.447 143.162 50.9239 142.213 1.68137 47.3947 1828.65 65.8381 1035970.26575644 424285.114330741 649197.743790411 70.199091268924 4948.64199458879 13390.9586216452 "Lees Athas" "Lees Athas.Amont" 17.65 107.254
"199" "Amont" 1767.16 124.283 50.025 123.784 6.9752 42.9998 807.901 214.524 1039703.73046334 367962.131975029 709928.006618715 97.3291077139994 6207.58877178901 12984.6563455983 "Cauterets" "Cauterets.Amont" 2.471 66.199
"200" "Amont" 1503.87 0.249764 82.9033 0 10.9872 6.10954 2262.02 101.117 1034262.44687222 603132.663210471 473792.729301529 75.5004845858763 10615.6755025953 9049.59962748684 "Lees Athas" "Lees Athas.Amont" 12.228 107.093
"201" "Amont" 180.768 197.122 34.31 196.622 0.166472 65.5236 91.8836 19.1121 1048413.47021555 571930.89335301 529681.016615545 24.042369427482 832.485271236587 964.734571172446 "Cauterets" "Cauterets.Amont" 2.976 66.77
"202" "Amont" 3331.28 0.399672 93.4232 14.2883 5.07826 1.3653 6975.15 194.564 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 5.238 78.696
"203" "Amont" 153.139 116.353 61.2221 115.554 0.2664 38.4615 176.18 5.57459 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.879 74.81
"204" "Amont" 556.406 76.5399 68.1985 5.64557 28.6047 3.11355 251.711 95.2567 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 3.477 71.741
"205" "Amont" 759.031 0.149855 55.735 120.084 2.84668 41.3684 12197.6 110.68 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.59 55.708
"206" "Amont" 1685.15 97.1063 62.9932 93.2101 5.31047 31.6298 885.039 217.338 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.613 57.339
"207" "Amont" 2819.44 0 95.6051 63.3926 2.97986 1.41502 32843.9 112.767 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 4.211 78.432
"208" "Amont" 73.5938 0 100 NA 0 0 36.5109 1.60182 951495.953621929 618148.225589759 333921.76831434 69.2223477966017 46.4065438370725 18.7051114290949 "Cauterets" "Cauterets.Amont" 3.479 73.283
"209" "Amont" 1265.78 77.9267 70.7341 77.2273 3.0298 26.2361 37489.3 209.237 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 13.26 111.727
"210" "Amont" 2520.81 74.5861 66.9053 74.1864 6.55902 26.4358 4678.46 144.374 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 5.192 80.728
"211" "Amont" 986.988 1.44893 98.9677 1.19912 0.366301 0.38295 7292.77 50.6464 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 13.19 112.687
"212" "Amont" 717.563 0.199852 83.9161 0.149889 0.34965 15.701 19669.3 84.907 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 8.734 102.774
"213" "Amont" 1020 175.621 30.303 0 66.367 3.33 495.271 168.19 1054650.75822659 827084.198976543 254173.430463017 47.3915235081702 10968.1892367725 4556.3152671337 "Cauterets" "Cauterets.Amont" 1.682 57.469
"214" "Amont" 2711.25 0 96.1205 59.7553 2.4975 1.38195 1401.68 97.576 NA NA 588167.655722241 NA NA 12166.0291777658 "Cauterets" "Cauterets.Amont" 3.064 67.888
"11" "Aval" 1109.84 170.54 37.8225 169.79 4.26169 57.9158 1085.05 244.65 1046942.29555312 539513.536846636 537074.716475266 54.6459653379534 7223.53990410968 6781.03979974299 "Cauterets" "Cauterets.Aval" 1.033 49.689
"12" "Aval" 774.716 195.714 32.2624 195.364 2.18079 65.5069 674.066 138.407 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 1.798 58.275
"13" "Aval" 1667.09 0.049952 60.6459 110.196 1.89779 37.4397 12801.6 225.307 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 1.626 57.644
"14" "Aval" 3035.85 0 92.9749 0.799276 6.24272 0.78242 2724.75 167.657 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 1.704 56.881
"15" "Aval" 920.542 94.8653 66.7555 93.6164 2.04761 31.0138 349.249 103.354 NA NA NA NA NA NA "Cauterets" "Cauterets.Aval" 3.823 74.055
