"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 4 9 122.189265853717 -0.0803887335332831 148.342772362652
2 "002_fs1" 4 10 121.413738473547 0.36652010329064 148.342772362652
2 "002_fs1" 4 11 120.63694971686 0.822317890908266 148.342772362652
2 "002_fs1" 4 12 119.858869808563 1.28652085320911 148.342772362652
2 "002_fs1" 4 13 119.079468973563 1.75864521408278 148.342772362652
2 "002_fs1" 4 14 118.298717436766 2.23820719741875 148.342772362652
2 "002_fs1" 4 15 117.516585423079 2.72472302710659 148.342772362652
2 "002_fs1" 4 16 116.733043157409 3.21770892703583 148.342772362652
2 "002_fs1" 4 17 115.948060864663 3.71668112109603 148.342772362652
2 "002_fs1" 4 18 115.161608769747 4.22115583317671 148.342772362652
2 "002_fs1" 4 19 114.373657097569 4.73064928716741 148.342772362652
2 "002_fs1" 4 20 113.584176073034 5.2446777069577 148.342772362652
2 "002_fs1" 4 21 112.793135921051 5.7627573164371 148.342772362652
2 "002_fs1" 4 22 112.000506866525 6.28440433949513 148.342772362652
2 "002_fs1" 4 23 111.206259134363 6.80913500002137 148.342772362652
2 "002_fs1" 4 24 110.410362949472 7.33646552190535 148.342772362652
2 "002_fs1" 4 25 109.61278853676 7.86591212903662 148.342772362652
2 "002_fs1" 4 26 108.813506121132 8.3969910453047 148.342772362652
2 "002_fs1" 4 27 108.012488166076 8.92921849459916 148.342772362652
2 "002_fs1" 4 28 107.210307496487 9.46211070080949 148.342772362652
2 "002_fs1" 4 29 106.407406453147 9.99518388782528 148.342772362652
2 "002_fs1" 4 30 105.603757550249 10.5279542795361 148.342772362652
2 "002_fs1" 4 31 104.799333301981 11.0599380998314 148.342772362652
2 "002_fs1" 4 32 103.994106222533 11.5906515726007 148.342772362652
2 "002_fs1" 4 33 103.188048826094 12.1196109217337 148.342772362652
2 "002_fs1" 4 34 102.381133626855 12.6463323711198 148.342772362652
2 "002_fs1" 4 35 101.573333139005 13.1703321446487 148.342772362652
2 "002_fs1" 4 36 100.764619876734 13.6911264662097 148.342772362652
2 "002_fs1" 4 37 99.9549663542318 14.2082315596925 148.342772362652
2 "002_fs1" 4 38 99.1443450856875 14.7211636489867 148.342772362652
2 "002_fs1" 4 39 98.3327285852911 15.2294389579817 148.342772362652
