"traitement" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency"
"amont" 210 "210_fs1" 0.1079 12.7650167361786 10.5794460868655 0.828784349093817
"amont" 210 "210_fs2" 0.1079 13.082378926182 10.0701469498625 0.769748912386949
"amont" 210 "210_fs3" 0.0913 9.04670886656828 6.50244585759936 0.718763691139533
"amont" 211 "211_fs1" 0.0996 8.21198054324818 6.87754427894823 0.837501287628218
"amont" 211 "211_fs2" 0.1494 12.7071192360746 9.96971533294855 0.784577145120763
"amont" 212 "212_fs1" 0.0996 5.81577019318353 3.89974629527111 0.670546834852909
"amont" 212 "212_fs2" 0.083 6.05024539024321 4.39092983523632 0.72574409003596
"amont" 213 "213_fs1" 0.1079 5.62077819039464 4.06676977008392 0.723524329252777
"amont" 213 "213_fs2" 0.1162 6.38793332876591 3.72866822592527 0.583704937735412
"amont" 213 "213_fs3" 0.1079 7.72156255525325 6.78573180586304 0.878802931052662
