"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
4 "004_fs1" 17 120 13.7108401704108 -2.48145104678588 -136.062814216114 "segment_06_pts_120-139" 11.0757147353716 298.328663680378 "amont"
4 "004_fs1" 17 140 5.62612395816393 -10.3390333261052 -122.244148061626 "segment_07_pts_140-156" 30.0151043894176 285.763605359134 "amont"
4 "004_fs1" 17 157 0.505166502016436 -18.7780376276235 -93.1281424357956 "segment_08_pts_157-170" 14.8850160362179 274.015706956727 "amont"
4 "004_fs1" 17 171 0.0808928825647968 -26.8910691852317 -90.88269122349 "segment_09_pts_171-179" 38.0809520748681 358.61454300557 "amont"
4 "004_fs1" 17 180 0.00632479669343411 -31.9948484522219 -87.8973656429508 "segment_10_pts_180-185" 53.9039920027557 379.257401684404 "amont"
4 "004_fs1" 17 186 0.260745379124103 -35.00332272059 -53.3926326783471 "segment_11_pts_186-190" 31.6965691988842 369.629983365777 "amont"
4 "004_fs1" 17 191 1.99916270757859 -37.1234937297885 -26.0721728230143 "segment_12_pts_191-200" 20.129603586247 346.254646504633 "amont"
4 "004_fs2" 10 1 26.5086787385676 108.353446358327 -121.618712331638 "segment_01_pts_1-27" 4.83791707751132 197.883608425105 "amont"
4 "004_fs2" 10 28 17.2586299291441 93.3369278996653 -122.639001056388 "segment_02_pts_28-53" 25.2368912396322 176.429204611546 "amont"
4 "004_fs2" 10 54 8.28939231584184 79.3581685125712 -115.835750510195 "segment_03_pts_54-76" 28.7685310477458 181.285400901823 "amont"
4 "004_fs2" 10 77 1.97336124687894 66.0328821880127 -98.1670955610461 "segment_04_pts_77-98" 34.3106289851547 182.625474635355 "amont"
4 "004_fs2" 10 99 0.0908839038973497 51.9248196388077 -73.4964389162529 "segment_05_pts_99-119" 27.7798048577903 154.769095144575 "amont"
4 "004_fs2" 10 120 4.12294682687991 38.6717178929476 -54.9504416297192 "segment_06_pts_120-139" 21.0289148128815 176.514426243551 "amont"
4 "004_fs2" 10 140 11.4309262715067 28.5732705060284 -30.7707859537241 "segment_07_pts_140-156" -1.01277372945944 212.103232985594 "amont"
4 "004_fs2" 10 157 21.1862534900712 22.8351376441959 -19.9138100973332 "segment_08_pts_157-170" -25.9564862636767 271.415921419842 "amont"
4 "004_fs2" 10 171 29.7203381982639 19.7690237383557 -19.3842683367907 "segment_09_pts_171-179" -36.5921348993594 279.610572101357 "amont"
4 "004_fs2" 10 180 35.192596604511 17.8086709399203 -25.4623139014745 "segment_10_pts_180-185" -37.3372917804219 304.807462697267 "amont"
4 "004_fs2" 10 186 38.5187082976389 16.1873001824387 -31.620824870288 "segment_11_pts_186-190" -36.3912479418075 291.138925728465 "amont"
4 "004_fs2" 10 191 41.1757711949575 14.5094832392592 -41.9320065312349 "segment_12_pts_191-200" -33.0764299682988 276.974360776235 "amont"
5 "005_fs1" 15 1 165.883347421809 38.6957770020177 -176.517425908159 "segment_01_pts_1-27" -0.359251130973007 133.498968633338 "amont"
5 "005_fs1" 15 28 147.896210736268 37.6343785945258 -178.998185850863 "segment_02_pts_28-53" 1.80706251676068 87.7902881154496 "amont"
5 "005_fs1" 15 54 130.40097457922 37.3050009961337 -172.545584644988 "segment_03_pts_54-76" 1.54210233751911 74.931132476894 "amont"
5 "005_fs1" 15 77 115.338370176026 35.2655829036623 -160.220862462039 "segment_04_pts_77-98" 1.3662108373415 124.769178406912 "amont"
5 "005_fs1" 15 99 101.368076028916 30.152968630858 -144.229064631807 "segment_05_pts_99-119" -1.67429396973264 131.646747264013 "amont"
5 "005_fs1" 15 120 90.0865300388065 21.8840884687762 -127.711184779264 "segment_06_pts_120-139" -1.55382922543872 151.756962507674 "amont"
5 "005_fs1" 15 140 81.9504584717515 11.2646366665288 -120.469296326701 "segment_07_pts_140-156" 2.79750891607962 187.332315270367 "amont"
5 "005_fs1" 15 157 76.1634362741387 1.38975395706854 -116.644575469648 "segment_08_pts_157-170" 5.28340181954813 227.798601015083 "amont"
5 "005_fs1" 15 171 71.9944725143464 -6.98925274277701 -111.690220251802 "segment_09_pts_171-179" 3.14160075937454 253.884252412086 "amont"
5 "005_fs1" 15 180 69.8208035206652 -12.5317749323673 -108.058640080064 "segment_10_pts_180-185" 1.13888333562075 234.477991706301 "amont"
5 "005_fs1" 15 186 68.6028281329948 -16.3078912646067 -106.01563045937 "segment_11_pts_186-190" 0.418721555462284 241.894753468993 "amont"
5 "005_fs1" 15 191 67.6956575747452 -19.5098086678766 -102.936559534307 "segment_12_pts_191-200" -0.615989810707191 260.868428710643 "amont"
5 "005_fs2" 12 1 116.58495350803 -69.4584924811276 158.39573683281 "segment_01_pts_1-27" 5.18120859921123 162.788444358149 "amont"
5 "005_fs2" 12 28 99.6651878020907 -62.8179349380453 163.904244185169 "segment_02_pts_28-53" 0.0705462390307616 167.502256963398 "amont"
5 "005_fs2" 12 54 83.049004115948 -58.0026552303359 155.904748289959 "segment_03_pts_54-76" 4.9334988857953 158.56932278331 "amont"
5 "005_fs2" 12 77 69.1386858147723 -51.6913216194901 139.947820757343 "segment_04_pts_77-98" 13.7259169292245 179.096251193205 "amont"
