"treatment" "poisson" "fs" "frame" "ratio_snout_tail" "ratio_ant_post"
"amont" "17" "017_fs1" 2 49.3564496146384 32.0530439601487
"amont" "17" "017_fs1" 3 99.0628643110163 64.9241661434417
"amont" "17" "017_fs1" 4 148.218267815013 104.0276333328
"amont" "17" "017_fs1" 5 160.399000724823 117.714861841104
"amont" "17" "017_fs1" 6 167.445058612665 115.737367899031
"amont" "17" "017_fs1" 7 155.079058757892 101.916557633303
"amont" "17" "017_fs1" 8 105.185858000633 64.497304851241
"amont" "17" "017_fs1" 9 80.8823156531932 46.3786806272201
"amont" "17" "017_fs1" 10 57.8286982411955 31.5461227166842
"amont" "17" "017_fs1" 11 33.0909789376124 21.9043695843451
"amont" "17" "017_fs1" 12 23.3765175588383 15.1596279931196
"amont" "17" "017_fs1" 13 14.9487853666875 13.9790478622938
"amont" "17" "017_fs1" 14 9.76546974987616 11.5556391342357
"amont" "17" "017_fs1" 15 7.29715325281552 11.2238280155585
"amont" "17" "017_fs2" 1 6.02642309408222 5.12106790096536
"amont" "17" "017_fs2" 2 22.9197985802527 13.0535498297323
"amont" "17" "017_fs2" 3 93.018404792709 64.1356963834265
"amont" "17" "017_fs2" 4 163.488350589976 117.436799863736
"amont" "17" "017_fs2" 5 158.212817364179 117.362223518402
"amont" "17" "017_fs2" 6 121.963902959922 75.500445920704
"amont" "17" "017_fs2" 7 35.1995665758996 11.4473704613867
"amont" "17" "017_fs2" 8 2.47305294909469 -11.7357987854012
"amont" "17" "017_fs2" 9 -21.5327863520139 -19.6386335456548
"amont" "17" "017_fs2" 10 -15.9883837096792 -9.66913138000439
"amont" "17" "017_fs2" 11 -4.70161667157899 6.60496041260353
"amont" "18" "018_fs1" 1 64.7727867371325 42.1927528512033
"amont" "18" "018_fs1" 2 27.000567537148 15.0654614904369
"amont" "18" "018_fs1" 3 -64.4318978838718 -57.5875068934797
"amont" "18" "018_fs1" 4 -139.538383118504 -111.646151715507
"amont" "18" "018_fs1" 5 -147.846208031354 -94.9889798478881
"amont" "18" "018_fs1" 6 -66.4929463830028 -25.1667907314533
"amont" "18" "018_fs1" 7 36.8699580484933 25.2147071240183
"amont" "18" "018_fs1" 8 25.6676364957883 15.6397116045433
"amont" "18" "018_fs1" 9 15.2581908934806 -2.04401243022778
"amont" "18" "018_fs1" 10 -12.0171075260528 -14.2557093628786
"amont" "18" "018_fs1" 11 -33.8466773329664 -21.3821512016287
"amont" "18" "018_fs2" 1 -7.47335657530709 -4.61488063984945
"amont" "18" "018_fs2" 2 -16.4960772212308 -8.92563113181728
"amont" "18" "018_fs2" 3 -70.891317613467 -50.4926249238575
"amont" "18" "018_fs2" 4 -146.238340780948 -107.949595943307
"amont" "18" "018_fs2" 5 -168.796949135486 -120.487123558093
"amont" "18" "018_fs2" 6 -102.942073469304 -60.8335940711824
"amont" "18" "018_fs2" 7 -11.7973559599801 15.7739055396268
"amont" "18" "018_fs2" 8 30.4618976475864 29.9529887772248
"amont" "18" "018_fs2" 9 57.1862956934091 43.3201230315827
"amont" "18" "018_fs2" 10 90.7041712305258 61.0213733339387
"amont" "18" "018_fs2" 11 100.89036118335 72.9130952147772
"amont" "18" "018_fs2" 12 118.28976000865 83.1534985701471
"amont" "18" "018_fs2" 13 122.079814118566 86.1203555818665
"amont" "18" "018_fs2" 14 114.778857584731 82.0691452242513
"amont" "18" "018_fs3" 1 4.04889914338901 8.15846820157327
"amont" "18" "018_fs3" 2 36.9839609270874 32.8996878498089
"amont" "18" "018_fs3" 3 95.964059060633 83.6053560107211
"amont" "18" "018_fs3" 4 149.340599384149 110.281661367833
"amont" "18" "018_fs3" 5 127.7283572074 80.2920109384968
"amont" "18" "018_fs3" 6 114.536208062298 57.9454230893674
"amont" "18" "018_fs3" 7 39.3072222235048 18.195454029078
"amont" "18" "018_fs3" 8 -5.78298747678988 7.74987380367443
"amont" "18" "018_fs3" 9 9.36886914620237 9.79830564284907
"amont" "18" "018_fs3" 10 26.7703741996777 14.9659091439609
"amont" "18" "018_fs3" 11 26.5515387769992 19.4420186948442
"amont" "18" "018_fs3" 12 26.9328920582391 22.0415558798181
"amont" "18" "018_fs3" 13 29.8154642241421 23.1289363337119
"amont" "19" "019_fs1" 1 15.2947399949972 8.41229446322151
"amont" "19" "019_fs1" 2 -1.8428250222257 -5.77100405130278
"amont" "19" "019_fs1" 3 -57.7710340874391 -46.8207284806527
"amont" "19" "019_fs1" 4 -104.299604420757 -84.1384205994964
"amont" "19" "019_fs1" 5 -141.002350679701 -97.4089834655975
"amont" "19" "019_fs1" 6 -163.232944813411 -101.455572022179
"amont" "19" "019_fs1" 7 -136.976552752389 -81.2246066687376
"amont" "19" "019_fs1" 8 -118.389022426868 -65.9510688491146
"amont" "19" "019_fs1" 9 -88.4692294065989 -48.4359933570184
"amont" "19" "019_fs1" 10 -80.6506126432819 -41.9403263216376
"amont" "19" "019_fs1" 11 -63.6666650348218 -32.8913395664793
"amont" "19" "019_fs1" 12 -41.6575776188982 -24.8888872518178
"amont" "19" "019_fs1" 13 -24.6762118000795 -20.7854334254203
"amont" "19" "019_fs1" 14 -22.4544414468623 -19.4306646139115
"amont" "19" "019_fs2" 1 41.7492089966472 19.3022024911815
"amont" "19" "019_fs2" 2 46.1830043572078 23.7303230580859
"amont" "19" "019_fs2" 3 64.3490939278432 48.5523712389498
"amont" "19" "019_fs2" 4 124.070498289731 97.7435605967178
"amont" "19" "019_fs2" 5 138.659894369237 107.713645980868
"amont" "19" "019_fs2" 6 131.592677548253 74.6200940365842
"amont" "19" "019_fs2" 7 60.4000932441915 18.9085507591772
"amont" "19" "019_fs2" 8 -7.14077545495894 -17.1120783490923
"amont" "19" "019_fs2" 9 -54.2446268508363 -30.650900811862
"amont" "19" "019_fs2" 10 -44.4446447699098 -27.3007050301091
"amont" "19" "019_fs2" 11 -48.0998656327522 -24.5915809543025
"amont" "19" "019_fs2" 12 -57.3001347131841 -27.3064759896431
"amont" "19" "019_fs3" 1 7.43383429527091 5.87065545484703
"amont" "19" "019_fs3" 2 54.7875707980064 40.5014608412329
"amont" "19" "019_fs3" 3 109.630465530459 85.7381585202781
"amont" "19" "019_fs3" 4 143.07344299034 113.473155917772
"amont" "19" "019_fs3" 5 131.474947626285 79.4369847638072
"amont" "19" "019_fs3" 6 70.8846157233938 26.008453613096
"amont" "19" "019_fs3" 7 14.1931576109647 -9.28759074066519
"amont" "19" "019_fs3" 8 -34.2221709599592 -20.4864775056728
"amont" "19" "019_fs3" 9 -33.0445699115631 -14.6080107235646
"amont" "19" "019_fs3" 10 -27.9510537438686 -8.56937576126927
"amont" "19" "019_fs3" 11 -15.4248958782501 -0.866170646224475
"amont" "20" "020_fs1" 1 13.6686185461894 10.5501779361763
"amont" "20" "020_fs1" 2 32.1599043985403 21.7008824470753
"amont" "20" "020_fs1" 3 76.6064038244841 62.8502445885322
"amont" "20" "020_fs1" 4 138.99410479606 111.877902526582
"amont" "20" "020_fs1" 5 144.425626991082 99.4538262398695
"amont" "20" "020_fs1" 6 95.0562042022678 48.200965718603
"amont" "20" "020_fs1" 7 70.6868417102555 24.1585440151964
"amont" "20" "020_fs1" 8 -45.7564655167031 -20.5582030155626
"amont" "20" "020_fs1" 9 -7.41870464124167 -7.90880376962508
"amont" "20" "020_fs1" 10 -10.2669130969324 -4.81098362714147
"amont" "20" "020_fs2" 1 -87.9059454502669 -55.1542478566859
"amont" "20" "020_fs2" 2 -47.8873485895325 -28.9273419616735
"amont" "20" "020_fs2" 3 13.7761445558428 30.1225904148852
"amont" "20" "020_fs2" 4 69.4084950973053 51.6193635048539
"amont" "20" "020_fs2" 5 62.3742122127315 33.6956291728136
"amont" "20" "020_fs2" 6 7.55097940150137 -8.2891816411173
"amont" "20" "020_fs2" 7 -25.5833367169685 -28.0685230638478
"amont" "20" "020_fs2" 8 -56.3773420507964 -39.5297053999971
"amont" "20" "020_fs3" 1 -17.5889309584258 0.0331542167855048
"amont" "20" "020_fs3" 2 -23.8250237984925 -2.04975777142889
"amont" "20" "020_fs3" 3 -64.6537855126707 -44.6107768982427
"amont" "20" "020_fs3" 4 -148.117012403381 -100.822220638884
"amont" "20" "020_fs3" 5 170.335461752052 -133.111155599855
"amont" "20" "020_fs3" 6 -149.076278797971 -105.418447256223
"amont" "20" "020_fs3" 7 -113.885540314293 -73.4489631601382
"amont" "20" "020_fs3" 8 -61.855437288427 -32.6062951148436
"amont" "20" "020_fs3" 9 -35.1024236081906 -19.4413204868739
"amont" "20" "020_fs3" 10 -26.0032635201046 -20.2692968213657
"amont" "21" "021_fs1" 1 -26.6563437967784 -16.6718039854194
"amont" "21" "021_fs1" 2 -17.8417819974998 -12.4264683499563
"amont" "21" "021_fs1" 3 72.1545329529328 48.4836129300803
"amont" "21" "021_fs1" 4 111.009667599566 73.7708751902163
"amont" "21" "021_fs1" 5 56.9672352731128 23.8330400373805
"amont" "21" "021_fs1" 6 -40.0505852286583 -32.7814461385475
"amont" "21" "021_fs1" 7 -83.2151567549377 -58.6212833887382
"amont" "21" "021_fs1" 8 -99.0555972178735 -65.6211577843073
"amont" "21" "021_fs1" 9 -96.0805319808277 -68.6420074163348
"amont" "21" "021_fs1" 10 -102.375348271111 -67.7467645902958
"amont" "21" "021_fs1" 11 -91.0142740637553 -57.5096038207902
"amont" "21" "021_fs1" 12 -91.1721808361723 -52.423574922118
"amont" "21" "021_fs1" 13 -49.8667831973835 -25.1070656035279
"amont" "21" "021_fs2" 1 5.35652226922127 2.87937671314398
"amont" "21" "021_fs2" 2 -1.05841964761288 -1.94934585498737
"amont" "21" "021_fs2" 3 -89.0822722489931 -64.2060702339536
"amont" "21" "021_fs2" 4 -163.398127391338 -118.041689834019
