"treatment" "poisson" "fs" "frame" "ratio"
"amont" "22" "022_fs1" "4" 98.2296967979394
"amont" "22" "022_fs1" "5" 101.575493876364
"amont" "22" "022_fs1" "6" 71.2402449920925
"amont" "22" "022_fs1" "7" 25.8050050875302
"amont" "22" "022_fs1" "8" -8.24062122790761
"amont" "22" "022_fs1" "9" -22.7509714606719
"amont" "22" "022_fs1" "10" -40.8616103166934
"amont" "22" "022_fs1" "11" -48.3760843100272
"amont" "22" "022_fs1" "12" -53.6784652216327
"amont" "22" "022_fs2" "1" 25.0210260845322
"amont" "22" "022_fs2" "2" 3.53381349103523
"amont" "22" "022_fs2" "3" -44.3820986838286
"amont" "22" "022_fs2" "4" -92.4038645350764
"amont" "22" "022_fs2" "5" -101.616507710426
"amont" "22" "022_fs2" "6" -33.3834602244606
"amont" "22" "022_fs2" "7" 24.1714802097597
"amont" "22" "022_fs2" "8" 30.0852536154768
"amont" "22" "022_fs2" "9" 28.3307418213338
"amont" "22" "022_fs2" "10" 1.80802131781141
"amont" "22" "022_fs2" "11" -13.0501386179527
"amont" "22" "022_fs3" "1" 15.7029755377447
"amont" "22" "022_fs3" "2" -4.72015801139548
"amont" "22" "022_fs3" "3" -54.6084894009691
"amont" "22" "022_fs3" "4" -95.4481252847479
"amont" "22" "022_fs3" "5" -76.2500495777395
"amont" "22" "022_fs3" "6" -10.5281663135806
"amont" "22" "022_fs3" "7" 53.894604803754
"amont" "22" "022_fs3" "8" 85.7398509022643
"amont" "22" "022_fs3" "9" 95.0388265074821
"amont" "22" "022_fs3" "10" 94.1134249004328
"amont" "22" "022_fs3" "11" 95.7451474460002
"amont" "22" "022_fs3" "12" 92.4999727137953
"amont" "22" "022_fs3" "13" 83.3834726485596
"amont" "22" "022_fs4" "1" 21.0523179160626
"amont" "22" "022_fs4" "2" 8.54419104477842
"amont" "22" "022_fs4" "3" -36.7544535087102
"amont" "22" "022_fs4" "4" -62.4466864310694
"amont" "22" "022_fs4" "5" -44.1271649610517
"amont" "22" "022_fs4" "6" -8.76361285802682
"amont" "22" "022_fs4" "7" 22.0666722378884
"amont" "22" "022_fs4" "8" 46.7752406895811
"amont" "22" "022_fs4" "9" 64.490086426308
"amont" "22" "022_fs4" "10" 73.3854964650638
"amont" "22" "022_fs4" "11" 70.2218893955533
"amont" "22" "022_fs4" "12" 71.446577704001
"amont" "22" "022_fs4" "13" 72.021529588913
"amont" "23" "023_fs1" "1" -4.25025721669743
"amont" "23" "023_fs1" "2" 30.9375476200665
"amont" "23" "023_fs1" "3" 82.6901499218559
"amont" "23" "023_fs1" "4" 112.557980015808
"amont" "23" "023_fs1" "5" 54.0849697274024
"amont" "23" "023_fs1" "6" 5.19314088021764
"amont" "23" "023_fs1" "7" -23.9824279436056
"amont" "23" "023_fs1" "8" -23.5467145880925
"amont" "23" "023_fs1" "9" -11.4186201707537
"amont" "23" "023_fs1" "10" 13.7243282950571
"amont" "23" "023_fs1" "11" 50.3247689221468
"amont" "23" "023_fs1" "12" 68.3689435881327
"amont" "23" "023_fs1" "13" 76.6277151443413
"amont" "23" "023_fs2" "1" 9.67923912792972
"amont" "23" "023_fs2" "2" 10.226757686538
"amont" "23" "023_fs2" "3" 55.4646266496535
"amont" "23" "023_fs2" "4" 109.40770868544
"amont" "23" "023_fs2" "5" 124.056879903329
"amont" "23" "023_fs2" "6" 75.6525387355682
"amont" "23" "023_fs2" "7" 19.103727108553
"amont" "23" "023_fs2" "8" -14.9613512141649
"amont" "23" "023_fs2" "9" -17.6524686835145
"amont" "23" "023_fs2" "10" -0.27045666371788
"amont" "23" "023_fs2" "11" 10.5737392048788
"amont" "23" "023_fs2" "12" 15.6706406732037
"amont" "23" "023_fs2" "13" 20.6505890962708
"amont" "23" "023_fs3" "1" 33.8849848689609
"amont" "23" "023_fs3" "2" 35.0057111685028
"amont" "23" "023_fs3" "3" 66.1037886020258
"amont" "23" "023_fs3" "4" 110.601046283907
"amont" "23" "023_fs3" "5" 113.717210774525
"amont" "23" "023_fs3" "6" 72.5108383817759
"amont" "23" "023_fs3" "7" 7.39955445720258
"amont" "23" "023_fs3" "8" -12.084459612111
"amont" "23" "023_fs3" "9" -19.8027194695843
"amont" "23" "023_fs3" "10" -20.1126276223434
"amont" "23" "023_fs3" "11" -17.4732089903994
"amont" "23" "023_fs3" "12" -13.925060011157
"amont" "23" "023_fs4" "1" -14.5977152650333
"amont" "23" "023_fs4" "2" 5.88995154146889
"amont" "23" "023_fs4" "3" 71.9316812008625
"amont" "23" "023_fs4" "4" 88.4897239301365
"amont" "23" "023_fs4" "5" 41.4188533531578
"amont" "23" "023_fs4" "6" -1.06689717062605
"amont" "23" "023_fs4" "7" -31.2086550833933
"amont" "23" "023_fs4" "8" -39.0245387010892
"amont" "23" "023_fs4" "9" -39.8834109328
"amont" "23" "023_fs4" "10" -29.5037452176485
"amont" "23" "023_fs4" "11" -18.7917750394246
"amont" "23" "023_fs4" "12" -13.7905505236315
"amont" "23" "023_fs4" "13" -7.0330650271803
"amont" "24" "024_fs1" "1" 28.5659160789644
"amont" "24" "024_fs1" "2" 8.82938286979126
"amont" "24" "024_fs1" "3" -76.3916818832499
"amont" "24" "024_fs1" "4" -101.086229369054
"amont" "24" "024_fs1" "5" -58.6897476711941
"amont" "24" "024_fs1" "6" -12.737109911422
"amont" "24" "024_fs1" "7" 14.5646833870327
"amont" "24" "024_fs1" "8" 34.730256126021
"amont" "24" "024_fs1" "9" 49.5858528530905
"amont" "24" "024_fs1" "10" 65.2724142429783
